company,decade,release_date,year,title,wiki_url
Neon,2010s,"April 7, 2017",2017.0,Colossal,https://en.wikipedia.org/wiki/Colossal_(film)
Neon,2010s,"May 5, 2017",2017.0,Risk,https://en.wikipedia.org/wiki/Risk_(2016_film)
Neon,2010s,"June 23, 2017",2017.0,The Bad Batch,https://en.wikipedia.org/wiki/The_Bad_Batch_(film)
Neon,2010s,"June 30, 2017",2017.0,The B-Side: Elsa Dorfman's Portrait Photography,https://en.wikipedia.org/wiki/The_B-Side:_Elsa_Dorfman%27s_Portrait_Photography
Neon,2010s,"August 11, 2017",2017.0,Ingrid Goes West,https://en.wikipedia.org/wiki/Ingrid_Goes_West
Neon,2010s,"August 25, 2017",2017.0,Beach Rats,https://en.wikipedia.org/wiki/Beach_Rats
Neon,2010s,"December 8, 2017",2017.0,"I, Tonya","https://en.wikipedia.org/wiki/I,_Tonya"
Neon,2010s,"March 30, 2018",2018.0,Gemini,https://en.wikipedia.org/wiki/Gemini_(2017_film)
Neon,2010s,"April 13, 2018",2018.0,Borg vs McEnroe,https://en.wikipedia.org/wiki/Borg_vs_McEnroe
Neon,2010s,"May 11, 2018",2018.0,Revenge,https://en.wikipedia.org/wiki/Revenge_(2017_film)
Neon,2010s,"June 29, 2018",2018.0,Three Identical Strangers,https://en.wikipedia.org/wiki/Three_Identical_Strangers
Neon,2010s,"September 21, 2018",2018.0,Assassination Nation,https://en.wikipedia.org/wiki/Assassination_Nation
Neon,2010s,"September 28, 2018",2018.0,Monsters and Men,https://en.wikipedia.org/wiki/Monsters_and_Men
Neon,2010s,"October 26, 2018",2018.0,Border,https://en.wikipedia.org/wiki/Border_(2018_Swedish_film)
Neon,2010s,"November 2, 2018",2018.0,Bodied,https://en.wikipedia.org/wiki/Bodied
Neon,2010s,"December 7, 2018",2018.0,Vox Lux,https://en.wikipedia.org/wiki/Vox_Lux
Neon,2010s,"March 1, 2019",2019.0,Apollo 11,https://en.wikipedia.org/wiki/Apollo_11_(2019_film)
Neon,2010s,"March 29, 2019",2019.0,The Beach Bum,https://en.wikipedia.org/wiki/The_Beach_Bum
Neon,2010s,"April 5, 2019",2019.0,Amazing Grace,https://en.wikipedia.org/wiki/Amazing_Grace_(2018_film)
Neon,2010s,"April 19, 2019",2019.0,Little Woods,https://en.wikipedia.org/wiki/Little_Woods
Neon,2010s,"May 10, 2019",2019.0,The Biggest Little Farm,https://en.wikipedia.org/wiki/The_Biggest_Little_Farm
Neon,2010s,"June 21, 2019",2019.0,Wild Rose,https://en.wikipedia.org/wiki/Wild_Rose_(2018_film)
Neon,2010s,"July 26, 2019",2019.0,Honeyland,https://en.wikipedia.org/wiki/Honeyland
Neon,2010s,"August 2, 2019",2019.0,Luce,https://en.wikipedia.org/wiki/Luce_(film)
Neon,2010s,"September 13, 2019",2019.0,Monos,https://en.wikipedia.org/wiki/Monos_(film)
Neon,2010s,"October 8, 2019",2019.0,Little Monsters,https://en.wikipedia.org/wiki/Little_Monsters_(2019_film)
Neon,2010s,"October 11, 2019",2019.0,Parasite,https://en.wikipedia.org/wiki/Parasite_(2019_film)
Neon,2010s,"December 6, 2019",2019.0,Portrait of a Lady on Fire,https://en.wikipedia.org/wiki/Portrait_of_a_Lady_on_Fire
Neon,2010s,"December 27, 2019",2019.0,Clemency,https://en.wikipedia.org/wiki/Clemency_(film)
Neon,2020s,"February 7, 2020",2020.0,The Lodge,https://en.wikipedia.org/wiki/The_Lodge_(film)
Neon,2020s,"March 13, 2020",2020.0,Big Time Adolescence,https://en.wikipedia.org/wiki/Big_Time_Adolescence
Neon,2020s,"May 8, 2020",2020.0,Spaceship Earth,https://en.wikipedia.org/wiki/Spaceship_Earth_(film)
Neon,2020s,"May 22, 2020",2020.0,The Painter and the Thief,https://en.wikipedia.org/wiki/The_Painter_and_the_Thief
Neon,2020s,"June 5, 2020",2020.0,Shirley,https://en.wikipedia.org/wiki/Shirley_(2020_film)
Neon,2020s,"July 10, 2020",2020.0,Palm Springs,https://en.wikipedia.org/wiki/Palm_Springs_(2020_film)
Neon,2020s,"July 31, 2020",2020.0,She Dies Tomorrow,https://en.wikipedia.org/wiki/She_Dies_Tomorrow
Neon,2020s,"October 2, 2020",2020.0,Possessor,https://en.wikipedia.org/wiki/Possessor_(film)
Neon,2020s,"October 13, 2020",2020.0,Totally Under Control,https://en.wikipedia.org/wiki/Totally_Under_Control
Neon,2020s,"October 16, 2020",2020.0,Bad Hair,https://en.wikipedia.org/wiki/Bad_Hair_(2020_film)
Neon,2020s,"November 13, 2020",2020.0,Ammonite,https://en.wikipedia.org/wiki/Ammonite_(film)
Neon,2020s,Dear Comrades!,,Dear Comrades!,https://en.wikipedia.org/wiki/Dear_Comrades!
Neon,2020s,"February 26, 2021",2021.0,Billie Eilish: The World's a Little Blurry,https://en.wikipedia.org/wiki/Billie_Eilish:_The_World%27s_a_Little_Blurry
Neon,2020s,Night of the Kings,,Night of the Kings,https://en.wikipedia.org/wiki/Night_of_the_Kings
Neon,2020s,"April 16, 2021",2021.0,Gunda,https://en.wikipedia.org/wiki/Gunda_(2020_film)
Neon,2020s,In the Earth,,In the Earth,https://en.wikipedia.org/wiki/In_the_Earth
Neon,2020s,"April 20, 2021",2021.0,Memories of Murder,https://en.wikipedia.org/wiki/Memories_of_Murder
Neon,2020s,"May 14, 2021",2021.0,The Killing of Two Lovers,https://en.wikipedia.org/wiki/The_Killing_of_Two_Lovers
Neon,2020s,"May 21, 2021",2021.0,New Order,https://en.wikipedia.org/wiki/New_Order_(film)
Neon,2020s,"July 16, 2021",2021.0,Pig,https://en.wikipedia.org/wiki/Pig_(2021_film)
Neon,2020s,"July 23, 2021",2021.0,Ailey,https://en.wikipedia.org/wiki/Ailey_(film)
Neon,2020s,"September 3, 2021",2021.0,The Year of the Everlasting Storm,https://en.wikipedia.org/wiki/The_Year_of_the_Everlasting_Storm
Neon,2020s,"October 1, 2021",2021.0,Titane,https://en.wikipedia.org/wiki/Titane
Neon,2020s,"October 15, 2021",2021.0,The Worst Person in the World,https://en.wikipedia.org/wiki/The_Worst_Person_in_the_World_(film)
Neon,2020s,"November 5, 2021",2021.0,Spencer,https://en.wikipedia.org/wiki/Spencer_(film)
Neon,2020s,"November 19, 2021",2021.0,Petite Maman,https://en.wikipedia.org/wiki/Petite_Maman
Neon,2020s,The First Wave,,The First Wave,https://en.wikipedia.org/wiki/The_First_Wave_(film)
Neon,2020s,"December 3, 2021",2021.0,Flee,https://en.wikipedia.org/wiki/Flee_(film)
Neon,2020s,"December 26, 2021",2021.0,Memoria,https://en.wikipedia.org/wiki/Memoria_(2021_film)
Neon,2020s,"May 13, 2022",2022.0,Pleasure,https://en.wikipedia.org/wiki/Pleasure_(2021_film)
Neon,2020s,"May 27, 2022",2022.0,A Chiara,https://en.wikipedia.org/wiki/A_Chiara
Neon,2020s,"June 3, 2022",2022.0,Crimes of the Future,https://en.wikipedia.org/wiki/Crimes_of_the_Future_(2022_film)
Neon,2020s,"June 24, 2022",2022.0,Beba,https://en.wikipedia.org/wiki/Beba_(film)
Neon,2020s,"July 6, 2022",2022.0,Fire of Love,https://en.wikipedia.org/wiki/Fire_of_Love_(2022_film)
Neon,2020s,"September 16, 2022",2022.0,Moonage Daydream,https://en.wikipedia.org/wiki/Moonage_Daydream_(film)
Neon,2020s,"October 7, 2022",2022.0,Triangle of Sadness,https://en.wikipedia.org/wiki/Triangle_of_Sadness
Neon,2020s,"November 23, 2022",2022.0,All the Beauty and the Bloodshed,https://en.wikipedia.org/wiki/All_the_Beauty_and_the_Bloodshed
Neon,2020s,"December 26, 2022",2022.0,Broker,https://en.wikipedia.org/wiki/Broker_(2022_film)
Neon,2020s,"January 27, 2023",2023.0,Infinity Pool,https://en.wikipedia.org/wiki/Infinity_Pool_(film)
Neon,2020s,"March 31, 2023",2023.0,Bait,https://en.wikipedia.org/wiki/Bait_(2019_film)
Neon,2020s,Enys Men,,Enys Men,https://en.wikipedia.org/wiki/Enys_Men
Neon,2020s,"April 7, 2023",2023.0,How to Blow Up a Pipeline,https://en.wikipedia.org/wiki/How_to_Blow_Up_a_Pipeline_(film)
Neon,2020s,"May 19, 2023",2023.0,Robots,https://en.wikipedia.org/wiki/Robots_(2023_film)
Neon,2020s,Sanctuary,,Sanctuary,https://en.wikipedia.org/wiki/Sanctuary_(2022_film)
Neon,2020s,"August 16, 2023",2023.0,Oldboy,https://en.wikipedia.org/wiki/Oldboy_(2003_film)
Neon,2020s,"September 22, 2023",2023.0,It Lives Inside,https://en.wikipedia.org/wiki/It_Lives_Inside
Neon,2020s,"October 6, 2023",2023.0,The Royal Hotel,https://en.wikipedia.org/wiki/The_Royal_Hotel_(film)
Neon,2020s,"October 13, 2023",2023.0,Anatomy of a Fall,https://en.wikipedia.org/wiki/Anatomy_of_a_Fall
Neon,2020s,"November 10, 2023",2023.0,Perfect Days,https://en.wikipedia.org/wiki/Perfect_Days
Neon,2020s,Robot Dreams,,Robot Dreams,https://en.wikipedia.org/wiki/Robot_Dreams_(film)
Neon,2020s,"December 1, 2023",2023.0,Eileen,https://en.wikipedia.org/wiki/Eileen_(film)
Neon,2020s,"December 8, 2023",2023.0,La chimera,https://en.wikipedia.org/wiki/La_chimera
Neon,2020s,Origin,,Origin,https://en.wikipedia.org/wiki/Origin_(film)
Neon,2020s,"December 25, 2023",2023.0,Ferrari,https://en.wikipedia.org/wiki/Ferrari_(2023_film)
Neon,2020s,"January 3, 2024",2024.0,Self Reliance,https://en.wikipedia.org/wiki/Self_Reliance_(film)
Neon,2020s,"March 22, 2024",2024.0,Immaculate,https://en.wikipedia.org/wiki/Immaculate_(2024_film)
Neon,2020s,"April 19, 2024",2024.0,Stress Positions,https://en.wikipedia.org/wiki/Stress_Positions_(film)
Neon,2020s,"May 17, 2024",2024.0,Babes,https://en.wikipedia.org/wiki/Babes_(film)
Neon,2020s,"May 31, 2024",2024.0,Handling the Undead,https://en.wikipedia.org/wiki/Handling_the_Undead_(film)
Neon,2020s,"June 13, 2024",2024.0,Brats,https://en.wikipedia.org/wiki/Brats_(2024_film)
Neon,2020s,"July 12, 2024",2024.0,Longlegs,https://en.wikipedia.org/wiki/Longlegs
Neon,2020s,"July 26, 2024",2024.0,Mothers' Instinct,https://en.wikipedia.org/wiki/Mothers%27_Instinct_(2024_film)
Neon,2020s,"August 9, 2024",2024.0,Cuckoo,https://en.wikipedia.org/wiki/Cuckoo_(2024_film)
Neon,2020s,"August 30, 2024",2024.0,Seeking Mavis Beacon,https://en.wikipedia.org/wiki/Seeking_Mavis_Beacon
Neon,2020s,"October 18, 2024",2024.0,Anora,https://en.wikipedia.org/wiki/Anora
Neon,2020s,"November 27, 2024",2024.0,The Seed of the Sacred Fig,https://en.wikipedia.org/wiki/The_Seed_of_the_Sacred_Fig
Neon,2020s,"December 6, 2024",2024.0,The End,https://en.wikipedia.org/wiki/The_End_(2024_film)
Neon,2020s,"December 27, 2024",2024.0,2073,https://en.wikipedia.org/wiki/2073_(film)
Neon,2020s,"January 24, 2025",2025.0,Presence,https://en.wikipedia.org/wiki/Presence_(2024_film)
Neon,2020s,"February 21, 2025",2025.0,The Monkey,https://en.wikipedia.org/wiki/The_Monkey_(film)
Neon,2020s,"March 14, 2025",2025.0,The Actor,https://en.wikipedia.org/wiki/The_Actor_(2025_film)
Neon,2020s,"April 4, 2025",2025.0,Hell of a Summer,https://en.wikipedia.org/wiki/Hell_of_a_Summer
Neon,2020s,"May 30, 2025",2025.0,Men of War,https://en.wikipedia.org/wiki/Men_of_War_(2024_film)
Neon,2020s,"June 6, 2025",2025.0,The Life of Chuck,https://en.wikipedia.org/wiki/The_Life_of_Chuck
Neon,2020s,"July 30, 2025",2025.0,Together,https://en.wikipedia.org/wiki/Together_(2025_film)
Neon,2020s,"August 22, 2025",2025.0,Splitsville,https://en.wikipedia.org/wiki/Splitsville_(film)
Neon,2020s,"October 3, 2025",2025.0,Orwell: 2+2=5,https://en.wikipedia.org/wiki/Orwell:_2%2B2%3D5
Neon,2020s,"October 15, 2025",2025.0,It Was Just an Accident,https://en.wikipedia.org/wiki/It_Was_Just_an_Accident
Neon,2020s,"October 24, 2025",2025.0,Shelby Oaks,https://en.wikipedia.org/wiki/Shelby_Oaks
Neon,2020s,"November 7, 2025",2025.0,Sentimental Value,https://en.wikipedia.org/wiki/Sentimental_Value
Neon,2020s,"November 14, 2025",2025.0,Keeper,https://en.wikipedia.org/wiki/Keeper_(2025_film)
Neon,2020s,Arco,,Arco,https://en.wikipedia.org/wiki/Arco_(film)
Neon,2020s,"November 26, 2025",2025.0,The Secret Agent,https://en.wikipedia.org/wiki/The_Secret_Agent_(2025_film)
Neon,2020s,"December 25, 2025",2025.0,No Other Choice,https://en.wikipedia.org/wiki/No_Other_Choice
Neon,2020s,"February 6, 2026",2026.0,Sirāt,https://en.wikipedia.org/wiki/Sir%C4%81t
Neon,2020s,"February 13, 2026",2026.0,Nirvanna the Band the Show the Movie,https://en.wikipedia.org/wiki/Nirvanna_the_Band_the_Show_the_Movie
Neon,2020s,"February 27, 2026",2026.0,EPiC: Elvis Presley in Concert,https://en.wikipedia.org/wiki/EPiC:_Elvis_Presley_in_Concert
